,Annual Income (k$),Spending Score (1-100)
43,39,61
46,40,55
47,40,47
48,40,42
49,40,42
50,42,52
51,42,60
52,43,54
53,43,60
54,43,45
55,43,41
56,44,50
57,44,46
58,46,51
59,46,46
60,46,56
61,46,55
62,47,52
63,47,59
64,48,51
65,48,59
66,48,50
67,48,48
68,48,59
69,48,47
70,49,55
71,49,42
72,50,49
73,50,56
74,54,47
75,54,54
76,54,53
77,54,48
78,54,52
79,54,42
80,54,51
81,54,55
82,54,41
83,54,44
84,54,57
85,54,46
86,57,58
87,57,55
88,58,60
89,58,46
90,59,55
91,59,41
92,60,49
93,60,40
94,60,42
95,60,52
96,60,47
97,60,50
98,61,42
99,61,49
100,62,41
101,62,48
102,62,59
103,62,55
104,62,56
105,62,42
106,63,50
107,63,46
108,63,43
109,63,48
110,63,52
111,63,54
112,64,42
113,64,46
114,65,48
115,65,50
116,65,43
117,65,59
118,67,43
119,67,57
120,67,56
121,67,40
122,69,58
126,71,35
132,72,34
142,76,40
